ROBOT_POSITION,EQPT_REAL_ID,STAGE,SLOT,STATUS,SENDREADY_GLASSID,STATUSTIME,COMMANDTIME,GETFIRST,EXCHANGE,TYPE,SENDREADY_JUDGE
11,CUT-CUT,1,1,0,,,,N,N,R,
12,CUT-LABEL,2,1,0,,,,N,N,S,
